Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Alban Lafont,fr FRA,GK,24-070,27.0,2,1,1,0,3,0,0,0,0,0,0,0,26,7,0,100.0,Matches
Andrei Girotto,br BRA,"DF,MF",31-045,26.8,4,0,0,41,28,1,8,61,58,0,1,0,124,59,33,64.1,Matches
Ludovic Blas,fr FRA,"FW,MF",25-093,22.8,2,0,0,42,46,2,75,14,24,0,0,0,126,10,24,29.4,Matches
Pedro Chirivella,es ESP,MF,25-315,20.5,1,0,0,12,17,0,11,20,19,0,0,0,109,7,8,46.7,Matches
Moses Simon,ng NGA,"FW,MF",27-265,20.2,3,0,0,10,26,4,100,6,9,0,0,0,89,8,28,22.2,Matches
Jean-Charles Castelletto,cm CMR,DF,28-067,19.5,2,0,0,13,14,0,6,43,19,0,1,0,121,51,23,68.9,Matches
Nicolas Pallois,fr FRA,DF,35-196,18.0,3,1,1,15,1,0,2,20,36,0,0,1,127,25,18,58.1,Matches
Samuel Moutoussamy,cd COD,MF,26-234,17.7,6,0,0,19,11,0,4,19,26,0,0,0,103,17,28,37.8,Matches
Moussa Sissoko,fr FRA,MF,33-230,16.4,3,0,0,25,9,2,18,13,16,0,1,0,107,22,20,52.4,Matches
Quentin Merlin,fr FRA,DF,20-322,14.1,1,0,0,7,11,0,85,18,13,0,0,0,84,11,9,55.0,Matches
Mostafa Mohamed,eg EGY,FW,25-126,15.9,0,0,0,34,22,9,9,5,9,1,0,0,35,60,63,48.8,Matches
Fabien Centonze,fr FRA,DF,27-077,12.6,3,0,0,10,17,0,43,34,23,1,0,0,70,26,14,65.0,Matches
Evann Guessand,fr FRA,"FW,MF",21-276,12.4,2,0,0,28,18,5,28,6,14,0,0,0,62,25,23,52.1,Matches
Ignatius Ganago,cm CMR,FW,24-046,12.7,0,0,0,14,25,7,16,1,6,1,0,0,46,43,46,48.3,Matches
Dennis Appiah,fr FRA,"DF,MF",30-298,8.8,1,0,0,16,1,1,21,10,11,0,1,0,50,16,16,50.0,Matches
Jaouen Hadjam,dz ALG,DF,20-008,7.1,1,0,0,8,8,0,19,9,16,0,0,1,44,5,10,33.3,Matches
Florent Mollet,fr FRA,MF,31-135,6.5,1,0,0,9,14,2,41,4,2,0,0,0,26,5,6,45.5,Matches
Sébastien Corchia,fr FRA,"DF,MF",32-153,6.9,2,0,0,13,15,1,39,7,6,0,0,0,41,8,7,53.3,Matches
João Victor,br BRA,DF,24-260,5.1,2,0,0,5,5,0,2,5,3,0,0,1,23,6,4,60.0,Matches
Charles Traore,ml MLI,DF,31-092,3.6,2,0,0,4,9,1,5,8,3,0,0,1,17,6,4,60.0,Matches
Marcus Coco,fr FRA,"DF,FW",26-283,3.6,1,0,0,10,8,2,13,8,5,0,0,0,29,10,11,47.6,Matches
Fábio,br BRA,"DF,MF",32-268,2.5,1,1,0,3,1,0,6,3,2,0,0,0,12,4,3,57.1,Matches
Andy Delort,dz ALG,FW,31-176,2.3,0,0,0,5,1,3,6,0,1,0,0,0,4,8,13,38.1,Matches
Rémy Descamps,fr FRA,GK,26-282,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Abdoul Kader Bamba,fr FRA,"FW,MF",28-313,0.9,0,1,0,3,2,1,3,0,0,0,0,0,5,2,0,100.0,Matches
Nathan Zeze,fr FRA,DF,17-289,0.7,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,50.0,Matches
Lohann Doucet,fr FRA,"MF,FW",20-201,1.0,0,0,0,2,0,0,0,2,0,0,0,0,11,0,2,0.0,Matches
Mohamed Achi,fr FRA,FW,21-077,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,,Matches
Stredair Appuah,fr FRA,MF,18-280,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,27.4,28.0,44,4,2,350,314,41,561,316,324,3,4,4,1496,442,414,51.6,
Opponent Total,,,27.1,28.0,52,5,1,330,330,34,481,250,300,3,5,2,1488,414,442,48.4,
