Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Joseph Aidoo,gh GHA,DF,27-186,25.8,4,0,0,15,9,0,0,24,30,0,1,0,161,43,43,50.0,Matches
Javi Galán,es ESP,DF,28-135,25.1,3,0,0,36,55,4,109,27,55,0,0,0,155,25,17,59.5,Matches
Iago Aspas,es ESP,FW,35-245,24.4,4,0,0,12,49,9,30,6,2,0,0,0,83,24,35,40.7,Matches
Unai Núñez,es ESP,DF,26-063,24.0,6,0,0,20,19,1,1,51,19,0,0,1,140,44,38,53.7,Matches
Fran Beltrán,es ESP,MF,24-059,23.3,4,0,0,19,11,2,29,39,16,0,0,0,139,13,38,25.5,Matches
Agustín Marchesín,ar ARG,GK,35-018,19.0,2,0,0,0,4,0,0,0,0,0,0,0,22,3,0,100.0,Matches
Gabriel Veiga,es ESP,MF,20-311,16.7,4,1,0,26,20,3,21,14,15,0,0,0,92,14,10,58.3,Matches
Hugo Mallo,es ESP,DF,31-285,16.4,4,0,0,33,18,5,44,13,19,0,1,0,76,34,21,61.8,Matches
Franco Cervi,ar ARG,MF,28-312,15.8,0,1,0,23,29,1,68,27,35,0,0,0,114,10,19,34.5,Matches
Carles Pérez,es ESP,"MF,FW",25-046,15.2,3,0,0,25,21,5,16,5,14,1,0,0,72,5,25,16.7,Matches
Jørgen Strand Larsen,no NOR,FW,23-056,13.9,4,0,0,30,33,10,0,2,5,1,0,0,24,34,31,52.3,Matches
Óscar Rodríguez Arnaiz,es ESP,MF,24-279,14.3,5,0,0,17,20,1,62,15,21,0,0,0,83,10,14,41.7,Matches
Óscar Mingueza,es ESP,DF,23-325,12.7,2,0,0,16,6,1,27,10,17,0,2,0,80,7,7,50.0,Matches
Renato Tapia,pe PER,"MF,DF",27-249,9.0,5,1,1,14,10,0,5,11,14,0,1,0,48,15,8,65.2,Matches
Luca de la Torre,us USA,MF,24-315,8.5,2,0,0,20,6,2,6,6,11,0,0,0,50,2,16,11.1,Matches
Iván Villar,es ESP,GK,25-268,7.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches
Gonçalo Paciência,pt POR,"FW,MF",28-245,4.5,2,1,0,11,12,0,2,0,3,0,0,0,14,17,15,53.1,Matches
Haris Seferović,ch SUI,"FW,MF",31-040,3.5,1,0,0,1,2,3,6,1,2,0,0,0,10,7,6,53.8,Matches
Augusto Solari,ar ARG,"MF,FW",31-090,2.4,0,0,0,7,3,0,2,4,5,0,0,0,16,4,3,57.1,Matches
Kevin Vázquez,es ESP,"DF,MF",30-011,2.0,0,0,0,5,1,0,3,0,3,0,0,0,15,0,3,0.0,Matches
Pablo Durán,es ESP,"MF,DF",22-068,0.4,0,0,0,1,0,1,1,1,0,0,0,0,3,1,1,50.0,Matches
Williot Swedberg,se SWE,MF,19-061,0.4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches
Carlos Dominguez,es ESP,DF,22-051,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
Hugo Sotelo,es ESP,MF,19-105,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,,,27.7,26.0,56,4,1,332,329,48,432,256,286,2,5,1,1404,313,352,47.1,
Opponent Total,,,28.5,26.0,71,6,1,349,312,47,453,252,252,3,3,2,1402,352,313,52.9,
