Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Joseph Aidoo,gh GHA,DF,27-171,25.8,7,0.27,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Javi Galán,es ESP,DF,28-120,25.1,62,2.47,45,11,3,0,2,1,2,0.08,2,0,0,0,0,0,Matches
Iago Aspas,es ESP,FW,35-230,24.4,103,4.23,83,4,3,5,7,1,6,0.25,6,0,0,0,0,0,Matches
Unai Núñez,es ESP,DF,26-048,24.0,12,0.5,10,1,1,0,0,0,1,0.04,0,1,0,0,0,0,Matches
Fran Beltrán,es ESP,MF,24-044,23.3,46,1.97,37,6,0,1,0,2,2,0.09,1,0,0,0,0,1,Matches
Agustín Marchesín,ar ARG,GK,35-003,19.0,2,0.11,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Veiga,es ESP,MF,20-296,16.7,56,3.36,39,2,9,3,2,1,7,0.42,5,0,2,0,0,0,Matches
Hugo Mallo,es ESP,DF,31-270,16.4,35,2.14,27,4,1,2,1,0,5,0.31,4,1,0,0,0,0,Matches
Franco Cervi,ar ARG,MF,28-297,15.8,41,2.6,28,7,1,2,3,0,4,0.25,3,0,0,1,0,0,Matches
Carles Pérez,es ESP,"MF,FW",25-031,15.2,45,2.96,31,0,6,5,3,0,7,0.46,5,0,1,0,1,0,Matches
Jørgen Strand Larsen,no NOR,FW,23-041,13.9,18,1.3,11,0,1,2,3,1,5,0.36,4,0,1,0,0,0,Matches
Óscar Rodríguez Arnaiz,es ESP,MF,24-264,14.3,46,3.21,30,9,1,6,0,0,1,0.07,1,0,0,0,0,0,Matches
Óscar Mingueza,es ESP,DF,23-310,12.7,20,1.57,19,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Renato Tapia,pe PER,"MF,DF",27-234,9.0,14,1.55,11,1,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Luca de la Torre,us USA,MF,24-300,8.5,22,2.57,19,0,1,1,1,0,4,0.47,3,0,0,1,0,0,Matches
Iván Villar,es ESP,GK,25-253,7.0,3,0.43,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gonçalo Paciência,pt POR,"FW,MF",28-230,4.5,12,2.65,8,0,1,1,2,0,3,0.66,2,0,0,1,0,0,Matches
Haris Seferović,ch SUI,"FW,MF",31-025,3.5,10,2.84,5,0,2,1,2,0,2,0.57,1,0,1,0,0,0,Matches
Augusto Solari,ar ARG,"MF,FW",31-075,2.4,5,2.06,5,0,0,0,0,0,2,0.83,2,0,0,0,0,0,Matches
Kevin Vázquez,es ESP,"DF,MF",29-361,2.0,4,2.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablo Durán,es ESP,"MF,DF",22-053,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Williot Swedberg,se SWE,MF,19-046,0.4,1,2.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Dominguez,es ESP,DF,22-036,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hugo Sotelo,es ESP,MF,19-090,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.6,26.0,564,21.69,423,46,31,30,26,8,51,1.96,39,2,5,3,1,1,
Opponent Total,,,28.4,26.0,447,17.19,315,46,25,25,27,9,59,2.27,40,5,3,8,3,0,
