Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Tijjani Reijnders,nl NED,MF,24-251,26.9,1547,1453,91,43,7,4,62,9,39,12,21,0,1315,3,23,Matches
Pantelis Hatzidiakos,gr GRE,DF,26-078,25.1,1596,1462,127,24,3,12,17,98,0,0,0,0,1334,7,19,Matches
Jordy Clasie,nl NED,MF,31-283,25.5,1604,1544,58,50,6,16,14,7,1,0,1,0,1384,2,15,Matches
Milos Kerkez,hu HUN,DF,19-150,22.7,1160,933,226,25,3,3,75,199,2,0,0,0,904,1,32,Matches
Jens Odgaard,dk DEN,FW,24-006,20.6,529,499,24,3,5,5,21,4,5,4,1,0,353,6,28,Matches
Yukinari Sugawara,jp JPN,"DF,FW",22-282,20.1,1102,914,185,18,1,16,87,148,19,0,14,0,857,3,22,Matches
Jesper Karlsson,se SWE,FW,24-255,17.5,667,588,76,13,2,6,96,11,49,33,1,2,473,3,19,Matches
Sam Beukema,nl NED,DF,24-140,17.6,1206,1177,27,15,3,8,4,0,0,0,0,0,1044,2,3,Matches
Vangelis Pavlidis,gr GRE,FW,24-136,16.0,502,462,40,2,2,9,7,5,0,0,0,0,345,0,23,Matches
Hobie Verhulst,nl NED,GK,30-004,16.0,553,416,134,27,0,0,0,0,0,0,0,0,349,3,1,Matches
Dani de Wit,nl NED,MF,25-068,12.4,402,390,9,1,3,0,2,3,0,0,0,0,294,3,8,Matches
Mathew Ryan,au AUS,GK,30-363,11.0,370,268,102,11,0,1,0,0,0,0,0,0,257,0,0,Matches
Maxim Dekker,nl NED,DF,18-350,9.4,508,500,8,6,0,3,0,2,0,0,0,0,440,0,1,Matches
Myron van Brederode,nl NED,FW,19-274,8.2,326,321,4,1,4,1,16,3,0,0,0,0,256,1,6,Matches
Sven Mijnans,nl NED,"MF,FW",23-028,7.2,295,285,9,3,3,0,11,1,5,3,0,0,237,1,5,Matches
Wouter Goes,nl NED,DF,18-300,6.3,383,369,12,11,2,5,0,1,0,0,0,0,322,2,1,Matches
Håkon Evjen,no NOR,FW,23-051,5.7,208,190,18,3,0,3,19,3,12,4,2,0,167,0,5,Matches
Djordje Mihailovic,us USA,"MF,FW",24-147,4.3,151,145,6,1,0,0,0,0,5,0,0,0,113,0,4,Matches
Bruno Martins Indi,nl NED,DF,31-057,3.5,275,268,7,7,1,2,1,0,0,0,0,0,238,0,1,Matches
Mees de Wit,nl NED,"DF,FW",24-354,5.7,363,308,54,5,0,0,10,48,1,0,0,0,291,1,10,Matches
Zinho Vanheusden,be BEL,DF,23-251,2.4,123,120,2,2,0,1,0,0,0,0,0,0,94,1,1,Matches
Riechedly Bazoer,nl NED,"MF,FW",26-176,2.6,149,147,1,0,0,1,3,0,0,0,0,0,115,1,2,Matches
Fedde de Jong,nl NED,DF,19-297,0.8,44,41,3,0,0,0,1,3,0,0,0,0,33,0,1,Matches
Mayckel Lahdo,se SWE,FW,20-097,3.7,155,155,0,0,0,2,4,0,0,0,0,0,126,0,7,Matches
Yusuf Barasi,tr TUR,"FW,MF",20-006,2.1,69,66,3,0,1,0,1,0,0,0,0,0,55,0,1,Matches
Peer Koopmeiners,nl NED,"MF,FW",22-337,1.1,59,57,1,0,1,0,1,1,0,0,0,0,46,1,2,Matches
Mexx Meerdink,nl NED,"FW,MF",19-256,0.6,10,10,0,0,0,0,1,0,0,0,0,0,3,0,1,Matches
Aslak Witry,no NOR,DF,27-027,0.6,60,51,9,0,0,0,0,9,0,0,0,0,54,0,0,Matches
Zico Buurmeester,nl NED,MF,20-303,0.5,36,34,2,0,0,0,0,2,0,0,0,0,29,0,0,Matches
Squad Total,,,24.8,27.0,14452,13173,1238,271,47,98,453,557,138,56,40,2,11528,41,241,
Opponent Total,,,25.6,27.0,12802,11552,1213,282,21,97,472,512,104,57,35,0,9910,37,205,
