Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Erik Palmer-Brown,us USA,DF,25-347,26.5,0,9,1,11.1,0.34,0.04,0.0,0.0,13.0,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
Yoann Salmier,gf GUF,DF,30-136,25.9,1,12,3,25.0,0.46,0.12,0.08,0.33,14.5,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Rominigue Kouamé,ml MLI,MF,26-110,22.5,1,20,4,20.0,0.89,0.18,0.05,0.25,21.1,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Mama Samba Baldé,gw GNB,FW,27-151,22.3,10,61,18,29.5,2.74,0.81,0.15,0.5,16.6,0,1,1,8.9,8.1,0.13,1.1,0.9,Matches
Rony Lopes,pt POR,"MF,FW",27-099,20.2,5,49,17,34.7,2.43,0.84,0.1,0.29,19.0,3,0,0,4.4,4.4,0.09,0.6,0.6,Matches
Gauthier Gallon,fr FRA,GK,29-348,22.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thierno Balde,fr FRA,DF,20-300,19.0,0,7,1,14.3,0.37,0.05,0.0,0.0,17.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Xavier Chavalerin,fr FRA,MF,32-030,20.5,2,22,8,36.4,1.08,0.39,0.09,0.25,22.1,0,0,0,1.0,1.0,0.04,1.0,1.0,Matches
Jackson Porozo,ec ECU,DF,22-245,16.4,2,19,9,47.4,1.16,0.55,0.11,0.22,12.6,0,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
Renaud Ripart,fr FRA,"FW,MF",30-023,14.7,4,39,14,35.9,2.66,0.95,0.1,0.29,16.0,0,0,0,3.5,3.5,0.09,0.5,0.5,Matches
Andreas Bruus,dk DEN,"DF,FW",24-080,14.3,0,7,1,14.3,0.49,0.07,0.0,0.0,22.1,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Yasser Larouci,dz ALG,"DF,FW",22-095,13.2,1,7,3,42.9,0.53,0.23,0.14,0.33,19.3,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
Wilson Odobert,fr FRA,"MF,FW",18-129,14.3,3,23,10,43.5,1.61,0.7,0.13,0.3,18.7,0,0,0,1.8,1.8,0.08,1.2,1.2,Matches
Abdu Conté,pt POR,DF,25-013,13.1,1,4,2,50.0,0.31,0.15,0.25,0.5,15.3,0,0,0,0.6,0.6,0.14,0.4,0.4,Matches
Florian Tardieu,fr FRA,MF,30-349,11.2,3,10,2,20.0,0.89,0.18,0.0,0.0,29.8,1,3,3,2.9,0.5,0.05,0.1,-0.5,Matches
Adil Rami,fr FRA,DF,37-100,11.1,0,8,2,25.0,0.72,0.18,0.0,0.0,28.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Lucien Agoume,fr FRA,MF,21-056,8.1,0,7,2,28.6,0.87,0.25,0.0,0.0,15.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
Mateusz Lis,pl POL,GK,26-038,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Papa Ndiaga Yade,sn SEN,DF,23-091,5.3,0,8,2,25.0,1.51,0.38,0.0,0.0,22.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Ike Ugbo,ca CAN,"FW,MF",24-197,4.9,2,9,4,44.4,1.85,0.82,0.22,0.5,14.6,0,0,0,1.7,1.7,0.19,0.3,0.3,Matches
Jeff Reine-Adélaïde,fr FRA,MF,25-079,1.1,0,2,0,0.0,1.75,0.0,0.0,,20.6,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Tristan Dingomé,cm CMR,MF,32-048,1.1,0,3,1,33.3,2.73,0.91,0.0,0.0,21.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Alexis Tibidi,fr FRA,"FW,MF",19-154,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mathis Hamdi,fr FRA,DF,19-170,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kyliane Dong,fr FRA,"DF,MF",18-191,0.6,0,1,0,0.0,1.55,0.0,0.0,,24.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Banhie Zoukrou,fr FRA,DF,19-334,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Amar Ahmed,se SWE,FW,19-046,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jordan Dongmo,cm CMR,MF,22-066,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marlos Moreno,co COL,"MF,DF",26-198,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ante Palaversa,hr CRO,MF,23-000,0.1,1,1,1,100.0,9.0,9.0,1.0,1.0,5.2,0,0,0,0.5,0.5,0.51,0.5,0.5,Matches
Squad Total,,,26.6,29.0,36,328,105,32.0,11.31,3.62,0.1,0.3,18.2,5,4,4,33.3,30.5,0.09,2.7,1.5,
Opponent Total,,,27.0,29.0,60,420,151,36.0,14.48,5.21,0.13,0.35,16.6,13,7,8,55.8,49.6,0.12,4.2,3.4,
