Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Jhonatan,br BRA,GK,31-315,25.0,879,802,875,5,0,0,879,0,0,,0,,462,2439,1459,0,0,0,0,0,308,0,Matches
Costinha,pt POR,"DF,MF",22-358,23.2,1458,82,411,653,407,36,1458,53,13,24.5,31,58.5,604,3759,1945,51,50,5,44,30,664,149,Matches
Gonçalo Rodrigues,pt POR,MF,25-244,23.5,1289,29,203,751,357,20,1289,39,20,51.3,11,28.2,678,4280,2076,57,51,4,29,24,818,64,Matches
Aderlan Santos,br BRA,DF,33-344,22.3,1535,190,815,703,21,17,1535,3,1,33.3,1,33.3,799,3018,1589,3,1,0,5,1,1034,0,Matches
Fábio Conceição,pt POR,"DF,FW",21-325,15.8,726,24,141,341,257,36,726,83,27,32.5,49,59.0,439,2634,1452,41,26,9,38,24,461,92,Matches
Emmanuel Boateng,gh GHA,"FW,MF",26-300,15.2,373,11,51,146,184,48,372,31,4,12.9,18,58.1,211,991,439,13,8,5,41,15,268,70,Matches
Josué Sá,pt POR,DF,30-275,14.5,927,78,414,476,42,4,927,2,1,50.0,0,0.0,530,2920,1815,22,17,0,5,1,633,4,Matches
Abdul-Aziz Yakubu,gh GHA,FW,24-129,14.2,364,14,30,130,209,46,362,21,7,33.3,11,52.4,190,1086,408,20,15,9,33,15,256,88,Matches
Patrick,br BRA,DF,25-289,13.9,991,84,418,530,48,8,991,10,5,50.0,5,50.0,527,2585,1440,13,12,0,6,7,659,5,Matches
Andreas Samaris,gr GRE,MF,33-279,11.6,688,35,180,453,63,1,688,16,7,43.8,6,37.5,312,1198,526,6,3,1,10,16,452,7,Matches
Renato Pantalon,hr CRO,DF,25-143,12.6,661,72,331,319,14,7,661,0,0,,0,,313,1296,721,5,1,0,8,2,396,1,Matches
Miguel Baeza,es ESP,"MF,FW",22-357,9.9,417,9,56,226,137,11,417,17,5,29.4,11,64.7,215,1241,717,23,15,2,21,6,286,45,Matches
Pedro Amaral,pt POR,DF,25-206,11.0,774,32,221,345,212,7,774,20,7,35.0,11,55.0,392,1714,974,11,11,0,7,7,476,43,Matches
André Pereira,pt POR,FW,27-318,7.4,283,9,41,152,98,22,281,19,11,57.9,5,26.3,162,1015,449,14,11,2,22,16,206,34,Matches
Paulo Vitor,br BRA,"DF,MF",23-268,8.7,435,15,94,178,177,12,435,40,13,32.5,19,47.5,245,2440,1293,29,24,4,15,11,250,65,Matches
João Graça,pt POR,"MF,FW",27-274,8.6,424,7,62,246,125,7,424,26,11,42.3,12,46.2,245,1436,659,17,17,1,18,16,294,27,Matches
Vítor Gomes,pt POR,MF,35-084,6.3,426,14,66,302,61,2,426,5,4,80.0,1,20.0,193,823,346,4,3,0,6,1,302,4,Matches
Joca,pt POR,"MF,FW",27-048,4.6,174,2,18,86,75,9,174,14,7,50.0,5,35.7,112,681,327,8,12,2,11,9,120,15,Matches
Amine Oudrhiri,ma MAR,MF,30-135,5.8,318,11,75,207,37,1,318,3,2,66.7,0,0.0,191,851,400,6,5,0,3,5,241,6,Matches
Miguel Nóbrega,pt POR,DF,22-336,5.6,375,40,167,185,23,6,375,4,1,25.0,3,75.0,221,1022,559,3,2,0,3,1,264,4,Matches
Leonardo Ruíz,co COL,FW,26-335,6.2,231,4,16,129,88,15,231,10,5,50.0,5,50.0,122,475,135,3,4,0,24,19,176,34,Matches
Hernâni Fortes,pt POR,"MF,FW",31-211,3.2,143,2,22,43,80,9,143,15,4,26.7,7,46.7,84,542,282,12,5,4,9,6,93,38,Matches
Ukra,pt POR,"MF,FW",35-003,2.0,108,4,21,59,30,1,108,7,3,42.9,2,28.6,54,312,150,5,3,1,7,3,66,11,Matches
João Ferreira,pt POR,"DF,MF",21-362,1.8,110,2,21,51,40,1,110,7,2,28.6,5,71.4,62,348,166,3,6,0,7,2,69,15,Matches
Savio,br BRA,"DF,MF",27-297,1.3,86,6,31,34,22,0,86,1,0,0.0,1,100.0,38,202,101,2,2,0,5,0,41,3,Matches
Zé Manuel,pt POR,FW,32-147,0.3,10,0,4,2,5,0,10,0,0,,0,,3,13,4,0,0,0,1,0,4,0,Matches
Julien Lomboto,cd COD,MF,20-310,0.1,10,0,4,5,1,0,10,0,0,,0,,4,7,4,0,0,0,0,0,5,0,Matches
Bruno Ventura,pt POR,MF,22-020,0.0,2,0,1,1,0,0,2,0,0,,0,,2,4,0,0,1,0,0,1,3,1,Matches
Squad Total,,,27.5,25.0,14217,1578,4789,6758,2813,326,14212,446,160,35.9,219,49.1,7410,39332,20436,371,305,49,378,238,8845,825,
Opponent Total,,,26.6,25.0,15343,1369,4758,7132,3616,516,15340,458,199,43.4,195,42.6,8615,43882,21258,443,312,128,386,217,10046,999,
