Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ricardo Batista,pt POR,GK,36-138,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vasco Fernandes,pt POR,DF,36-145,23.0,0,3,1,33.3,0.13,0.04,0.0,0.0,9.8,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Lucas Soares,br BRA,"MF,DF",24-337,22.0,0,21,6,28.6,0.96,0.27,0.0,0.0,17.3,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
Afonso Taira,pt POR,MF,30-293,18.6,0,10,2,20.0,0.54,0.11,0.0,0.0,27.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Nermin Zolotić,ba BIH,DF,29-273,20.4,0,6,2,33.3,0.29,0.1,0.0,0.0,12.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Saviour Godwin,ng NGA,"FW,MF",26-227,20.2,3,55,17,30.9,2.72,0.84,0.05,0.18,19.9,0,0,0,3.5,3.5,0.06,-0.5,-0.5,Matches
Fernando Varela,cv CPV,DF,35-131,16.6,1,12,4,33.3,0.72,0.24,0.08,0.25,8.5,0,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches
Leonardo Lelo,pt POR,"MF,DF",23-007,17.4,1,7,1,14.3,0.4,0.06,0.0,0.0,19.7,0,1,2,2.0,0.4,0.06,-1.0,-0.4,Matches
Takahiro Kunimoto,jp JPN,"FW,MF",25-180,13.6,1,15,6,40.0,1.1,0.44,0.07,0.17,18.0,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Neto,br BRA,MF,31-216,12.2,2,9,3,33.3,0.74,0.25,0.22,0.67,26.5,2,0,0,0.6,0.6,0.06,1.4,1.4,Matches
Rafael Martins,br BRA,FW,34-020,12.1,4,29,8,27.6,2.4,0.66,0.14,0.5,15.1,0,0,0,3.3,3.3,0.13,0.7,0.7,Matches
João Nunes,pt POR,DF,27-138,13.8,1,4,3,75.0,0.29,0.22,0.25,0.33,10.5,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
Clayton,br BRA,FW,24-085,11.8,4,37,13,35.1,3.14,1.1,0.11,0.31,16.9,0,0,0,5.3,5.3,0.14,-1.3,-1.3,Matches
Derick,br BRA,"MF,DF",29-217,10.7,0,13,2,15.4,1.22,0.19,0.0,0.0,22.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Romário Baró,pt POR,"MF,FW",23-071,10.4,0,12,1,8.3,1.16,0.1,0.0,0.0,26.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Yuki Soma,jp JPN,"FW,MF",26-040,6.6,1,16,6,37.5,2.44,0.92,0.06,0.17,20.2,4,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches
Beni,ao ANG,MF,20-320,5.6,0,2,0,0.0,0.36,0.0,0.0,,24.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Yan Brice Eteki,cm CMR,MF,25-223,6.6,0,4,0,0.0,0.61,0.0,0.0,,25.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Bolgado,br BRA,DF,24-229,4.5,1,1,1,100.0,0.22,0.22,1.0,1.0,4.8,0,0,0,0.3,0.3,0.3,0.7,0.7,Matches
Diogo Pinto,pt POR,"FW,MF",23-281,3.2,0,2,2,100.0,0.62,0.62,0.0,0.0,13.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Cuca,cv CPV,MF,32-087,3.9,0,3,0,0.0,0.77,0.0,0.0,,26.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Felippe Cardoso,br BRA,FW,24-184,1.5,2,5,2,40.0,3.36,1.34,0.4,1.0,12.6,0,0,0,1.6,1.6,0.32,0.4,0.4,Matches
João,br BRA,GK,24-338,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Paes,br BRA,GK,25-120,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eduardo Fereira,ve VEN,"FW,MF",22-189,0.6,0,1,0,0.0,1.7,0.0,0.0,,36.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Carnejy Antoine,ht HAI,"FW,MF",31-253,1.4,1,4,1,25.0,2.95,0.74,0.25,1.0,15.6,0,0,0,0.5,0.5,0.13,0.5,0.5,Matches
Vitó Ferreira,pt POR,"MF,FW",25-200,0.8,0,1,1,100.0,1.29,1.29,0.0,0.0,28.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Léo Natel,br BRA,FW,26-023,0.6,0,3,0,0.0,4.74,0.0,0.0,,14.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Anderson,br BRA,"MF,FW",24-178,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Francisco Kiki,pt POR,MF,25-051,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,29.1,26.0,22,275,82,29.8,10.58,3.15,0.08,0.26,18.6,6,1,2,26.4,24.8,0.09,-4.4,-3.8,
Opponent Total,,,26.6,26.0,25,342,94,27.5,13.15,3.62,0.06,0.21,19.3,17,5,7,35.7,30.1,0.09,-10.7,-10.1,
