Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Julian Lelieveld,nl NED,DF,25-133,23.1,51,29,33,13,5,30,49,61.2,19,38,9,29,24,75,55,1,Matches
Thierry Lutonda,be BEL,DF,22-161,22.5,56,33,35,15,6,32,63,50.8,31,42,10,32,29,85,42,0,Matches
Shawn Adewoye,be BEL,DF,22-281,25.0,51,26,35,13,3,18,34,52.9,16,41,23,18,35,86,135,0,Matches
Etienne Vaessen,nl NED,GK,27-254,25.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,10,2,Matches
Juriën Gaari,cw CUW,DF,29-104,24.4,45,28,34,10,1,33,44,75.0,11,36,15,21,32,77,94,3,Matches
Vurnon Anita,cw CUW,MF,34-002,23.0,28,13,10,15,3,13,24,54.2,11,14,4,10,17,45,14,0,Matches
Pelle Clement,nl NED,MF,26-322,20.0,28,16,12,9,7,12,43,27.9,31,25,3,22,9,37,26,0,Matches
Dario Van den Buijs,be BEL,DF,27-206,18.3,25,17,14,10,1,11,21,52.4,10,33,18,15,21,46,81,0,Matches
Iliass Bel Hassani,ma MAR,"MF,FW",30-202,14.8,16,7,5,4,7,9,26,34.6,17,9,3,6,5,21,11,0,Matches
Michiel Kramer,nl NED,FW,34-124,15.7,5,4,2,0,3,2,7,28.6,5,8,0,8,8,13,13,0,Matches
Yassin Oukili,nl NED,MF,22-093,13.9,48,29,17,23,8,19,33,57.6,14,12,2,10,14,62,5,0,Matches
Mats Seuntjens,nl NED,FW,30-354,11.3,8,6,4,1,3,2,11,18.2,9,11,3,8,4,12,9,0,Matches
Julen Lobete,es ESP,FW,22-200,10.0,3,2,0,3,0,0,5,0.0,5,8,1,7,3,6,3,0,Matches
Patrick Vroegh,nl NED,"MF,DF",23-128,5.9,15,8,7,4,4,8,13,61.5,5,7,1,6,4,19,5,0,Matches
Lars Nieuwpoort,nl NED,DF,28-159,4.8,9,6,6,3,0,7,14,50.0,7,8,3,5,10,19,20,0,Matches
Florian Jozefzoon,sr SUR,"FW,MF",32-056,6.5,16,9,4,6,6,6,8,75.0,2,3,0,3,2,18,1,0,Matches
Lennerd Daneels,be BEL,FW,24-361,2.0,2,2,0,1,1,0,0,,0,1,0,1,0,2,0,0,Matches
Mika Biereth,dk DEN,"FW,MF",20-057,3.1,2,1,0,0,2,0,1,0.0,1,2,0,2,1,3,1,0,Matches
Saïd Bakari,km COM,"DF,MF",28-196,4.9,7,4,6,1,0,2,5,40.0,3,7,2,5,11,18,7,0,Matches
Roy Kuijpers,nl NED,"FW,MF",23-079,3.6,4,2,1,1,2,2,7,28.6,5,0,0,0,3,7,0,0,Matches
Joel Castro Pereira,pt POR,GK,26-282,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Zakaria Bakkali,be BEL,"FW,DF",27-070,3.3,6,4,3,2,1,3,3,100.0,0,0,0,0,1,7,2,0,Matches
Luuk Wouters,nl NED,DF,23-302,1.5,6,2,3,3,0,4,6,66.7,2,5,1,4,5,11,7,0,Matches
Sebbe Augustijns,be BEL,"MF,FW",23-215,0.6,3,1,2,1,0,2,3,66.7,1,0,0,0,0,3,4,0,Matches
Kevin Felida,cw CUW,MF,23-146,0.4,2,2,1,1,0,2,2,100.0,0,1,1,0,0,2,2,0,Matches
Hans Mulder,nl NED,"DF,MF",35-344,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
Squad Total,,,27.3,27.0,439,252,237,139,63,219,424,51.7,205,311,99,212,239,678,549,7,
Opponent Total,,,25.8,27.0,475,260,230,164,81,232,468,49.6,236,288,74,214,218,693,420,3,
