Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Julian Lelieveld,nl NED,DF,25-133,23.1,4,0,0,19,16,2,35,24,29,1,0,0,123,18,25,41.9,Matches
Thierry Lutonda,be BEL,DF,22-161,22.5,0,0,0,18,16,0,42,29,33,0,2,0,141,9,13,40.9,Matches
Shawn Adewoye,be BEL,DF,22-281,25.0,5,0,0,33,10,0,4,35,26,0,1,0,151,37,32,53.6,Matches
Etienne Vaessen,nl NED,GK,27-254,25.0,3,0,0,0,4,0,0,1,1,0,0,0,42,10,0,100.0,Matches
Juriën Gaari,cw CUW,DF,29-104,24.4,6,0,0,30,9,0,10,32,28,0,1,0,181,33,23,58.9,Matches
Vurnon Anita,cw CUW,MF,34-002,23.0,3,0,0,15,11,0,8,17,13,0,1,0,159,4,15,21.1,Matches
Pelle Clement,nl NED,MF,26-322,20.0,1,0,0,21,14,3,24,9,16,0,0,0,114,13,16,44.8,Matches
Dario Van den Buijs,be BEL,DF,27-206,18.3,2,0,0,18,5,1,51,21,17,0,0,0,89,26,29,47.3,Matches
Iliass Bel Hassani,ma MAR,"MF,FW",30-202,14.8,3,2,0,9,14,2,80,5,7,0,0,0,59,7,15,31.8,Matches
Michiel Kramer,nl NED,FW,34-124,15.7,5,0,0,26,17,8,2,8,4,0,0,0,28,37,34,52.1,Matches
Yassin Oukili,nl NED,MF,22-093,13.9,7,0,0,30,10,0,3,14,29,0,0,0,91,12,11,52.2,Matches
Mats Seuntjens,nl NED,FW,30-354,11.3,1,0,0,15,13,5,30,4,6,0,0,0,46,2,13,13.3,Matches
Julen Lobete,es ESP,FW,22-200,10.0,1,0,0,9,29,5,8,3,2,0,0,0,36,12,20,37.5,Matches
Patrick Vroegh,nl NED,"MF,DF",23-128,5.9,0,0,0,3,2,0,12,4,8,0,0,0,26,5,7,41.7,Matches
Lars Nieuwpoort,nl NED,DF,28-159,4.8,1,0,0,5,0,0,1,10,6,0,0,0,23,4,11,26.7,Matches
Florian Jozefzoon,sr SUR,"FW,MF",32-056,6.5,1,0,0,3,6,6,22,2,9,0,0,0,18,2,7,22.2,Matches
Lennerd Daneels,be BEL,FW,24-361,2.0,0,0,0,3,7,2,8,0,2,0,0,0,4,2,2,50.0,Matches
Mika Biereth,dk DEN,"FW,MF",20-057,3.1,1,0,0,2,8,0,3,1,1,0,0,0,8,5,10,33.3,Matches
Saïd Bakari,km COM,"DF,MF",28-196,4.9,0,0,0,4,2,0,9,11,4,0,0,0,48,1,6,14.3,Matches
Roy Kuijpers,nl NED,"FW,MF",23-079,3.6,1,0,0,2,5,3,26,3,2,1,0,0,7,1,2,33.3,Matches
Joel Castro Pereira,pt POR,GK,26-282,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Zakaria Bakkali,be BEL,"FW,DF",27-070,3.3,0,0,0,4,11,2,10,1,4,0,0,0,15,0,4,0.0,Matches
Luuk Wouters,nl NED,DF,23-302,1.5,0,0,0,1,1,0,0,5,2,0,0,0,10,5,2,71.4,Matches
Sebbe Augustijns,be BEL,"MF,FW",23-215,0.6,2,0,0,6,2,0,0,0,1,0,0,0,5,3,2,60.0,Matches
Kevin Felida,cw CUW,MF,23-146,0.4,0,0,0,0,0,0,0,0,2,0,0,0,3,2,3,40.0,Matches
Hans Mulder,nl NED,"DF,MF",35-344,0.1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0.0,Matches
Squad Total,,,27.3,27.0,47,2,0,277,212,39,388,239,252,2,6,0,1428,250,305,45.0,
Opponent Total,,,25.8,27.0,39,5,0,227,255,32,528,218,260,5,3,1,1535,305,250,55.0,
