Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Gabriel Vieira,br BRA,"FW,MF",21-015,20.4,33,22,20,10,3,13,33,39.4,20,8,2,6,15,48,10,0,Matches
Kennedy Boateng,tg TOG,DF,26-128,19.7,37,26,24,10,3,15,26,57.7,11,16,12,4,22,59,108,1,Matches
Adriano,br BRA,"MF,DF",23-153,17.3,32,21,12,19,1,24,37,64.9,13,28,11,17,16,48,41,0,Matches
Gabriel Batista,br BRA,GK,24-307,18.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,0,Matches
Victor Bobsin,br BRA,MF,23-084,17.9,26,18,12,13,1,16,39,41.0,23,18,7,11,24,50,27,0,Matches
Pierre Sagna,sn SEN,DF,32-228,13.8,32,17,18,12,2,14,19,73.7,5,10,3,7,24,56,40,1,Matches
Ricardinho,pt POR,"FW,MF",24-243,13.9,10,8,3,5,2,5,19,26.3,14,13,2,11,4,14,8,0,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,26-165,13.1,26,17,17,6,3,16,22,72.7,6,15,4,11,13,39,36,0,Matches
Kyosuke Tagawa,jp JPN,FW,24-054,12.2,9,5,3,5,1,2,11,18.2,9,2,0,2,4,13,8,0,Matches
Bruno Messi,pt POR,"MF,FW",26-209,11.2,18,6,8,9,1,6,21,28.6,15,22,1,21,6,24,5,1,Matches
Allano,br BRA,"FW,MF",27-347,10.2,11,10,7,4,0,6,25,24.0,19,18,3,15,5,16,9,0,Matches
Cristian González,uy URU,DF,26-257,11.7,22,16,15,5,2,8,10,80.0,2,19,11,8,20,42,57,1,Matches
Ítalo,br BRA,DF,21-047,10.0,15,7,10,5,0,11,13,84.6,2,15,8,7,8,23,59,0,Matches
Kento Misao,jp JPN,MF,26-355,9.3,24,14,11,11,2,11,25,44.0,14,17,8,9,9,33,10,0,Matches
Xavi Quintillà,es ESP,DF,26-226,8.0,15,13,7,6,2,8,16,50.0,8,7,2,5,3,18,22,0,Matches
Marco André Rocha Pereira,pt POR,GK,36-084,8.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
MT,br BRA,"DF,MF",22-036,7.2,17,6,8,8,1,14,24,58.3,10,8,1,7,6,23,20,0,Matches
Rildo,br BRA,"FW,MF",23-075,8.5,18,8,7,7,4,7,17,41.2,10,9,1,8,3,21,5,0,Matches
Matheus Babi,br BRA,FW,25-262,8.0,5,4,1,1,3,3,11,27.3,8,7,1,6,0,5,12,0,Matches
Diogo Calila,pt POR,"DF,MF",24-178,6.8,12,8,5,6,1,7,10,70.0,3,4,0,4,8,20,9,1,Matches
Anderson Carvalho,br BRA,MF,32-321,5.5,19,8,5,12,2,8,19,42.1,11,3,0,3,6,25,13,0,Matches
Paulo Godinho,br BRA,DF,21-051,5.3,7,5,5,2,0,5,8,62.5,3,3,3,0,6,13,27,0,Matches
Costinha,pt POR,"MF,FW",30-224,4.5,8,6,1,5,2,3,6,50.0,3,3,1,2,1,9,0,0,Matches
Eulânio Ângelo Chipela Gomes,gw GNB,DF,28-324,4.5,6,4,1,0,5,1,2,50.0,1,5,1,4,3,9,8,0,Matches
Walter González,py PAR,FW,27-320,4.4,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,7,0,Matches
Ygor Nogueira,br BRA,DF,28-010,3.8,11,5,8,2,1,7,10,70.0,3,9,7,2,5,16,16,0,Matches
Pedro Bicalho,br BRA,"MF,FW",21-348,2.1,4,3,1,3,0,3,6,50.0,3,2,0,2,5,9,1,0,Matches
Bruno Jordão,pt POR,MF,24-176,2.1,2,2,2,0,0,0,6,0.0,6,3,0,3,2,4,1,0,Matches
Joao Marcos,br BRA,"FW,MF",22-330,1.8,2,1,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,Matches
Andrezinho,pt POR,"DF,MF",26-126,1.8,7,3,3,3,1,4,6,66.7,2,1,0,1,0,7,1,0,Matches
Filip Stevanovic,rs SRB,"FW,MF",20-193,1.5,4,3,0,3,1,3,4,75.0,1,1,0,1,0,4,0,0,Matches
Rodrigo Valente,pt POR,"MF,FW",22-050,1.1,1,0,0,0,1,1,1,100.0,0,4,1,3,1,2,1,0,Matches
Rui Costa,pt POR,MF,27-045,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Rúben Alexandre Gomes Oliveira,pt POR,MF,28-113,0.2,1,1,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,Matches
Squad Total,,,25.6,26.0,434,267,214,173,47,221,452,48.9,231,272,90,182,221,655,570,5,
Opponent Total,,,26.8,26.0,405,237,162,175,68,194,384,50.5,190,222,50,172,228,633,567,5,
