Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Sergi Darder,es ESP,MF,29-105,26.7,1146,945,193,84,13,13,138,8,78,37,27,3,812,8,26,Matches
Vinicius Souza,br BRA,MF,23-293,23.5,802,781,21,20,0,9,4,0,0,0,0,0,643,0,15,Matches
Joselu,es ESP,FW,33-010,23.2,550,526,22,0,2,4,11,1,1,0,0,0,331,2,15,Matches
Brian Oliván,es ESP,DF,29-005,21.3,907,691,212,17,0,9,102,185,10,4,4,0,562,4,24,Matches
Leandro Cabrera,uy URU,DF,31-293,20.8,933,848,78,48,0,8,7,30,0,0,0,0,667,7,10,Matches
Martin Braithwaite,dk DEN,"FW,MF",31-305,20.1,317,304,11,0,1,2,16,0,0,0,0,0,197,2,15,Matches
Óscar Gil,es ESP,DF,25-345,19.7,716,533,182,12,1,3,27,170,0,0,0,0,557,1,26,Matches
Sergi Gómez,es ESP,DF,31-009,18.7,810,773,36,30,0,10,2,5,0,0,0,0,692,1,1,Matches
Javi Puado,es ESP,"FW,MF",24-316,17.8,381,370,10,1,0,1,18,7,0,0,0,0,298,1,8,Matches
Fernando Calero,es ESP,"DF,MF",27-204,13.7,563,503,58,24,0,10,4,34,0,0,0,0,447,2,2,Matches
Álvaro Fernández,es ESP,GK,24-358,11.0,358,203,153,50,0,2,0,0,0,0,0,0,231,2,0,Matches
Edu Expósito,es ESP,MF,26-248,10.8,405,363,41,17,1,4,34,1,11,5,3,0,291,1,8,Matches
Benjamin Lecomte,fr FRA,GK,31-345,10.0,275,149,123,43,0,2,0,0,0,0,0,0,179,3,0,Matches
Aleix Vidal,es ESP,"FW,MF",33-228,10.0,294,262,32,6,1,2,24,26,0,0,0,0,214,0,16,Matches
César Montes,mx MEX,DF,26-041,8.5,349,332,16,14,1,6,0,2,0,0,0,0,267,1,4,Matches
Rubén,es ESP,"DF,MF",22-061,8.2,284,242,41,4,2,2,40,37,0,0,0,0,199,1,7,Matches
Nico Ribaudo,es ESP,"FW,MF",21-360,5.9,185,178,7,3,1,1,7,3,1,0,0,0,143,0,7,Matches
Fernando Pacheco,es ESP,GK,30-323,6.0,227,145,81,17,0,0,0,0,0,0,0,0,146,1,0,Matches
Denis Suárez,es ESP,MF,29-090,4.4,182,164,18,9,1,1,10,1,6,4,0,0,141,0,2,Matches
Keidi Bare,al ALB,MF,25-221,3.7,174,170,4,3,0,1,4,0,1,1,0,0,143,0,2,Matches
José Gragera,es ESP,"MF,DF",22-127,3.5,139,136,3,3,0,1,0,0,0,0,0,0,118,0,0,Matches
Ronaël Pierre-Gabriel,fr FRA,DF,24-297,1.8,72,55,17,0,0,0,7,17,0,0,0,0,54,0,4,Matches
Omar El Hilali,ma MAR,"DF,MF",19-206,1.0,35,28,7,0,0,0,2,7,0,0,0,0,21,0,1,Matches
José Carlos Lazo,es ESP,"MF,FW",27-049,1.8,35,31,3,0,0,0,4,1,2,0,0,0,25,1,2,Matches
Wassim Boullif,es ESP,"DF,MF",18-062,1.0,17,16,1,0,0,0,0,1,0,0,0,0,15,0,1,Matches
Dani Gómez,es ESP,"MF,FW",24-250,0.8,13,12,1,0,0,0,2,1,0,0,0,0,9,0,2,Matches
Adri Embarba,es ESP,FW,30-334,0.4,6,5,1,1,0,0,2,0,0,0,0,0,4,0,0,Matches
Luca Koleosho,it ITA,"FW,DF",18-203,0.3,12,12,0,0,0,0,1,0,0,0,0,0,7,0,1,Matches
Pol Lozano,es ESP,MF,23-182,0.2,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
Roger Martínez,es ESP,DF,19-001,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Nabil Touaizi,ma MAR,MF,22-064,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,28.3,27.0,10201,8791,1372,406,24,91,467,537,110,51,34,3,7424,38,199,
Opponent Total,,,28.3,27.0,14157,12720,1380,354,32,139,507,601,139,45,70,2,11395,57,249,
