name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Dani Figueira,€1.50m,Goalkeeper,"Jul 20, 1998 (24)",Portugal,"1,89m",right,"Jul 1, 2019","Jun 30, 2025"
Pedro Silva,€400k,Goalkeeper,"Feb 13, 1997 (26)",Portugal,"1,89m",right,"Aug 11, 2022","Jun 30, 2025"
Jota Oliveira,€200k,Goalkeeper,"Sep 18, 2002 (20)",Portugal,"1,85m",right,"Jul 1, 2022","Jun 30, 2023"
Pedro Álvaro,€900k,Centre-Back,"Mar 2, 2000 (23)",Portugal,"1,87m",right,"Jul 3, 2022","Jun 30, 2025"
Bernardo Vital,€800k,Centre-Back,"Dec 29, 2000 (22)",Portugal,"1,87m",right,"Jul 1, 2021","Jun 30, 2025"
Lucas Áfrico,€400k,Centre-Back,"Feb 5, 1995 (28)",Brazil,"1,88m",left,"Jul 2, 2021","Jun 30, 2023"
Mexer,€300k,Centre-Back,"Sep 8, 1988 (34)",Mozambique,"1,88m",right,"Aug 24, 2022","Jun 30, 2023"
Joãozinho,€200k,Left-Back,"Jul 2, 1989 (33)",Portugal,"1,85m",left,"Jan 9, 2020","Jun 30, 2024"
Tiago Santos,€1.00m,Right-Back,"Jul 23, 2002 (20)",Portugal,"1,75m",right,"Aug 1, 2022","Jun 30, 2025"
Shaquil Delos,€500k,Right-Back,"Jun 16, 1999 (23)",France,"1,83m",right,"Aug 25, 2022","Jun 30, 2023"
Loreintz Rosier,€1.00m,Defensive Midfield,"Aug 14, 1998 (24)",France,"1,90m",right,"Jul 10, 2020","Jun 30, 2023"
Mor Ndiaye,€850k,Defensive Midfield,"Nov 22, 2000 (22)",Senegal,"1,85m",right,"Jul 24, 2022","Jun 30, 2025"
João Gamboa,€500k,Defensive Midfield,"Aug 31, 1996 (26)",Portugal,"1,87m",right,"Jan 1, 2023","Jun 30, 2023"
Mabrouk Rouaï,€200k,Defensive Midfield,"Nov 1, 2000 (22)",France,"1,85m",right,-,"Jun 30, 2023"
James Léa Siliki,€1.50m,Central Midfield,"Jun 12, 1996 (26)",Cameroon,"1,83m",left,"Jul 22, 2022","Jun 30, 2025"
Duarte Carvalho,€300k,Central Midfield,"May 30, 2002 (20)",Portugal,"1,78m",right,-,"Jun 30, 2024"
João Carvalho,€2.00m,Attacking Midfield,"Mar 9, 1997 (26)",Portugal,"1,72m",right,"Aug 22, 2022","Jun 30, 2023"
Rafik Guitane,€1.50m,Attacking Midfield,"May 26, 1999 (23)",France,"1,70m",right,"Jan 31, 2023","Jun 30, 2023"
Chico Geraldes,€700k,Attacking Midfield,"Apr 18, 1995 (27)",Portugal,"1,75m",both,"Jul 1, 2021","Jun 30, 2023"
João Marques,€300k,Attacking Midfield,"Feb 13, 2002 (21)",Portugal,"1,79m",right,-,"Jun 30, 2025"
Brandon Aguilera,€275k,Attacking Midfield,"Jun 28, 2003 (19)",Costa Rica,"1,79m",left,"Jan 31, 2023","Jun 30, 2023"
Rodrigo Martins,€700k,Left Winger,"Sep 15, 1998 (24)",Portugal,"1,77m",right,"Jul 1, 2022","Jun 30, 2026"
Dele,€700k,Left Winger,"Feb 22, 2001 (22)",Nigeria,"1,80m",right,"Sep 1, 2022","Jun 30, 2027"
Tiago Araújo,€350k,Left Winger,"Mar 27, 2001 (22)",Portugal,"1,84m",left,"Jul 1, 2022","Jun 30, 2025"
Tiago Gouveia,€2.50m,Right Winger,"Jun 18, 2001 (21)",Portugal,"1,76m",right,"Jul 27, 2022","Jun 30, 2023"
Carlos Eduardo,€1.50m,Right Winger,"Oct 10, 1996 (26)",Brazil,"1,73m",right,"Jan 25, 2023","Jun 30, 2023"
João Carlos,€650k,Centre-Forward,"Mar 1, 1995 (28)",Brazil,"1,87m",both,"Sep 30, 2020","Jun 30, 2024"
Alejandro Marqués,€500k,Centre-Forward,"Aug 4, 2000 (22)",Venezuela,"1,89m",right,"Jul 28, 2022","Jun 30, 2023"
Cassiano,€200k,Centre-Forward,"Jun 16, 1989 (33)",Brazil,"1,84m",right,"Jan 26, 2023","Jun 30, 2024"
