Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Marvin Ducksch,de GER,FW,29-027,23.2,85,3.66,54,24,4,1,2,0,20,0.86,13,4,2,0,1,0,Matches
Niclas Füllkrug,de GER,FW,30-053,23.5,62,2.64,47,0,2,7,6,0,9,0.38,7,0,0,1,1,0,Matches
Jiří Pavlenka,cz CZE,GK,30-354,23.3,2,0.09,2,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Anthony Jung,de GER,"DF,FW",31-151,21.7,30,1.38,28,1,1,0,0,0,6,0.28,6,0,0,0,0,0,Matches
Amos Pieper,de GER,DF,25-076,20.5,17,0.83,15,0,0,1,1,0,2,0.1,2,0,0,0,0,0,Matches
Mitchell Weiser,de GER,"DF,FW",28-347,20.4,62,3.04,48,3,3,2,6,0,12,0.59,9,1,0,1,1,0,Matches
Marco Friedl,at AUT,DF,25-018,19.8,17,0.86,13,3,1,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Miloš Veljković,rs SRB,DF,27-189,16.9,15,0.89,14,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
Christian Groß,de GER,MF,34-054,15.3,19,1.24,17,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Ilia Gruev,bg BUL,MF,22-332,14.5,20,1.38,15,4,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches
Niklas Stark,de GER,DF,27-354,14.6,10,0.68,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jens Stage,dk DEN,MF,26-146,13.4,20,1.49,18,0,0,0,1,1,4,0.3,4,0,0,0,0,0,Matches
Leonardo Bittencourt,de GER,"MF,DF",29-105,11.3,23,2.04,11,1,2,1,6,2,2,0.18,1,0,0,0,1,0,Matches
Romano Schmid,at AUT,MF,23-066,12.1,33,2.72,28,0,3,1,1,0,3,0.25,3,0,0,0,0,0,Matches
Niklas Schmidt,de GER,MF,25-033,10.1,41,4.05,31,1,4,3,2,0,3,0.3,1,0,0,1,1,0,Matches
Lee Buchanan,eng ENG,"DF,FW",22-027,3.6,4,1.1,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Oliver Burke,sct SCO,"FW,MF",25-361,3.0,8,2.7,6,0,0,0,2,0,3,1.01,2,0,0,0,1,0,Matches
Michael Zetterer,de GER,GK,27-265,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabio Chiarodia,it ITA,DF,17-302,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eren Dinkçi,de GER,"FW,MF",21-111,2.0,4,2.03,3,0,0,1,0,0,1,0.51,1,0,0,0,0,0,Matches
Maximilian Philipp,de GER,"MF,FW",29-033,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolai Rapp,de GER,"MF,DF",26-111,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Felix Agu,de GER,"DF,FW",23-188,0.5,4,7.2,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dikeni Salifou,tg TOG,MF,19-299,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.0,25.0,477,19.08,368,38,20,19,28,4,69,2.76,53,5,2,3,6,0,
Opponent Total,,,26.9,25.0,580,23.2,407,54,47,39,22,11,77,3.08,56,2,9,6,1,3,
