Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Rodrigo Guth,br BRA,DF,22-144,25.4,1,0,0,24,4,1,5,33,21,0,0,0,133,44,37,54.3,Matches
Ivor Pandur,hr CRO,GK,23-009,23.0,1,0,0,0,1,0,0,1,1,0,0,0,33,9,0,100.0,Matches
Burak Yılmaz,tr TUR,FW,37-262,22.8,8,0,0,16,40,30,14,2,5,3,0,0,30,26,29,47.3,Matches
George Cox,eng ENG,DF,25-079,20.4,3,0,0,13,21,2,84,35,16,0,0,0,128,11,8,57.9,Matches
Iñigo Córdoba,es ESP,"FW,MF",26-021,17.9,3,0,0,14,23,7,59,26,36,0,0,0,127,26,29,47.3,Matches
Ivo Pinto,pt POR,DF,33-086,17.7,1,0,0,8,10,1,71,21,18,0,0,0,105,15,12,55.6,Matches
Arianit Ferati,xk KVX,MF,25-208,15.1,5,0,0,23,20,0,16,19,27,1,0,0,112,9,22,29.0,Matches
Dimitris Siovas,gr GRE,DF,34-199,15.0,2,0,0,6,1,1,2,30,12,0,0,0,76,50,18,73.5,Matches
Oğuzhan Özyakup,tr TUR,MF,30-192,14.9,3,0,0,8,15,1,28,7,10,0,0,0,82,8,7,53.3,Matches
Deroy Duarte,cv CPV,MF,23-273,13.4,2,0,0,7,7,0,5,24,8,0,0,0,75,13,14,48.1,Matches
Úmaro Embaló,pt POR,"FW,MF",21-332,11.5,3,0,0,9,16,7,38,4,17,0,0,0,62,4,7,36.4,Matches
Doğan Erdoğan,tr TUR,"MF,DF",26-224,12.6,4,2,1,12,10,0,13,14,16,0,0,0,82,12,9,57.1,Matches
Ximo Navarro,es ESP,DF,33-070,11.5,2,0,0,4,6,0,1,12,9,0,1,2,59,15,14,51.7,Matches
Tijjani Noslin,nl NED,"FW,MF",23-270,10.8,2,0,0,24,8,3,27,11,21,0,0,0,73,24,19,55.8,Matches
Mats Seuntjens,nl NED,"MF,FW",30-351,10.7,5,1,1,25,13,1,49,7,6,0,0,0,40,2,4,33.3,Matches
Kristijan Bistrović,hr CRO,MF,24-359,8.0,1,0,0,5,5,0,37,11,8,0,0,0,64,3,6,33.3,Matches
Paul Gladon,nl NED,"FW,MF",31-016,8.9,1,0,0,19,15,6,5,0,4,1,0,0,20,68,47,59.1,Matches
Rémy Vita,mg MAD,"DF,MF",22-002,8.9,0,0,0,13,10,1,16,10,13,1,0,0,68,2,8,20.0,Matches
Mickaël Tirpan,be BEL,DF,29-162,4.3,1,0,0,10,3,1,11,6,7,0,1,0,16,6,6,50.0,Matches
Thomas Buitink,nl NED,"FW,MF",22-293,3.7,2,0,0,7,0,1,7,1,2,0,0,0,21,4,4,50.0,Matches
Yanick van Osch,nl NED,GK,26-010,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
Cole Bassett,us USA,"MF,FW",21-249,2.2,0,0,0,0,1,0,7,1,2,0,0,0,12,6,2,75.0,Matches
Stipe Radić,hr CRO,DF,22-297,2.1,0,0,0,1,0,0,0,1,2,0,0,0,6,4,0,100.0,Matches
Muhammet Tunahan Taşçı,tr TUR,"FW,MF",20-339,0.9,1,0,0,6,4,0,5,1,6,0,0,0,8,0,2,0.0,Matches
Roel Janssen,nl NED,"DF,MF",32-291,0.5,0,0,0,0,0,0,0,1,2,0,0,0,4,1,0,100.0,Matches
Vasileios Sourlis,gr GRE,MF,20-138,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Gianmarco Cangiano,it ITA,"FW,DF",21-138,0.1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,,Matches
Mike van Beijnen,nl NED,DF,24-027,0.1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,27.5,26.0,52,3,2,255,235,63,501,278,270,6,2,2,1442,364,304,54.5,
Opponent Total,,,26.1,26.0,35,1,0,242,235,34,607,191,257,2,6,0,1529,304,364,45.5,
