Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Xavi Simons,nl NED,"FW,MF",19-347,24.5,38,18,11,14,13,15,28,53.6,13,28,4,24,7,45,10,0,Matches
Walter Benítez,ar ARG,GK,30-074,23.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,6,1,Matches
Joey Veerman,nl NED,MF,24-135,20.6,42,21,17,20,5,24,47,51.1,23,33,9,24,23,65,29,1,Matches
Ibrahim Sangaré,ci CIV,MF,25-122,21.4,63,31,29,28,6,22,36,61.1,14,35,10,25,16,79,37,1,Matches
Armando Obispo,nl NED,DF,24-029,19.1,23,14,18,5,0,13,24,54.2,11,17,8,9,39,62,65,3,Matches
Jordan Teze,nl NED,DF,23-185,18.0,39,28,30,9,0,23,34,67.6,11,23,7,16,18,57,38,0,Matches
Phillipp Mwene,at AUT,DF,29-064,15.8,36,27,18,17,1,22,35,62.9,13,19,2,17,7,43,30,0,Matches
Luuk de Jong,nl NED,FW,32-219,13.8,7,5,1,5,1,4,12,33.3,8,7,2,5,3,10,19,0,Matches
Jarrad Branthwaite,eng ENG,DF,20-280,15.8,17,10,11,6,0,9,17,52.9,8,16,11,5,25,42,70,1,Matches
Cody Gakpo,nl NED,FW,23-331,12.5,13,10,3,7,3,5,12,41.7,7,7,1,6,8,21,3,0,Matches
Guus Til,nl NED,"MF,FW",25-102,14.4,31,20,11,18,2,9,20,45.0,11,20,2,18,10,41,13,0,Matches
André Ramalho,br BRA,DF,31-046,14.3,22,11,11,10,1,11,16,68.8,5,24,15,9,16,38,55,0,Matches
Johan Bakayoko,be BEL,FW,19-348,11.8,26,14,5,14,7,5,16,31.3,11,14,0,14,7,33,6,0,Matches
Philipp Max,de GER,DF,29-185,11.3,19,14,7,8,4,10,21,47.6,11,7,0,7,7,26,9,1,Matches
Erick Gutiérrez,mx MEX,MF,27-292,12.8,40,23,23,15,2,19,37,51.4,18,17,7,10,20,60,11,0,Matches
Anwar El Ghazi,nl NED,FW,27-335,10.0,10,7,1,3,6,6,10,60.0,4,8,2,6,3,13,5,0,Matches
Patrick van Aanholt,nl NED,DF,32-217,6.4,13,6,7,5,1,4,14,28.6,10,4,0,4,8,21,10,0,Matches
Ismael Saibari,ma MAR,FW,22-065,4.5,15,7,7,7,1,7,11,63.6,4,4,0,4,6,21,3,0,Matches
Fábio Silva,pt POR,FW,20-258,4.5,2,1,1,0,1,0,8,0.0,8,3,1,2,1,3,4,0,Matches
Joel Drommel,nl NED,GK,26-138,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Mauro Júnior,br BRA,"DF,MF",23-332,3.0,5,3,4,0,1,3,6,50.0,3,3,1,2,5,10,11,0,Matches
Noni Madueke,eng ENG,"FW,MF",21-024,3.1,12,4,8,2,2,3,5,60.0,2,4,0,4,0,12,0,0,Matches
Ki-Jana Hoever,nl NED,DF,21-075,2.3,7,6,5,2,0,5,7,71.4,2,3,1,2,4,11,4,0,Matches
Fredrik Oppegard,no NOR,DF,20-239,1.7,4,2,2,2,0,3,4,75.0,1,1,0,1,2,6,2,0,Matches
Yorbe Vertessen,be BEL,"FW,MF",22-085,1.7,4,2,2,2,0,0,0,,0,2,0,2,0,4,0,0,Matches
Richy Ledezma,us USA,MF,22-209,1.5,2,1,0,1,1,2,2,100.0,0,1,0,1,2,4,3,0,Matches
Thorgan Hazard,be BEL,"FW,MF",30-005,1.2,5,2,3,2,0,3,9,33.3,6,3,0,3,0,5,4,0,Matches
Olivier Boscagli,fr FRA,DF,25-136,1.1,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,2,0,Matches
Sávio,br BRA,"FW,MF",18-358,1.1,4,0,1,3,0,2,4,50.0,2,3,1,2,0,4,0,0,Matches
Carlos Vinícius,br BRA,FW,28-009,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Fodé Fofana,nl NED,FW,20-159,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Marco van Ginkel,nl NED,DF,30-123,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.6,27.0,501,288,237,206,58,230,437,52.6,207,307,84,223,240,741,450,8,
Opponent Total,,,25.9,27.0,484,280,252,172,60,213,477,44.7,264,316,113,203,308,792,573,8,
