Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Nicolò Barella,it ITA,MF,26-058,23.3,5,0,0,27,38,8,73,9,19,0,0,0,143,19,10,65.5,Matches
Lautaro Martínez,ar ARG,FW,25-227,24.0,2,0,0,41,53,10,11,12,11,1,0,0,78,34,36,48.6,Matches
Hakan Çalhanoğlu,tr TUR,MF,29-057,21.4,2,0,0,35,24,1,131,22,21,0,0,0,162,13,13,50.0,Matches
Federico Dimarco,it ITA,DF,25-147,18.6,0,0,0,10,25,4,173,14,19,0,1,0,99,4,9,30.8,Matches
Milan Škriniar,sk SVK,DF,28-054,19.7,5,1,1,35,14,1,5,13,18,0,0,1,112,17,18,48.6,Matches
Alessandro Bastoni,it ITA,DF,23-358,18.8,2,0,0,16,14,1,40,20,18,0,0,0,90,35,17,67.3,Matches
Denzel Dumfries,nl NED,DF,26-353,18.3,4,0,0,25,32,2,61,10,10,2,1,1,63,33,30,52.4,Matches
Henrikh Mkhitaryan,am ARM,MF,34-075,18.0,3,0,0,19,21,0,19,13,22,0,0,0,142,7,9,43.8,Matches
Matteo Darmian,it ITA,DF,33-125,17.0,3,0,0,16,17,3,26,18,25,0,0,0,90,9,16,36.0,Matches
Francesco Acerbi,it ITA,DF,35-055,18.8,4,0,0,10,10,1,17,25,14,0,0,0,106,62,30,67.4,Matches
André Onana,cm CMR,GK,27-004,18.0,1,0,0,0,1,0,0,0,0,0,0,0,17,1,0,100.0,Matches
Edin Džeko,ba BIH,FW,37-020,17.5,3,0,0,23,23,10,19,3,2,0,0,0,59,38,36,51.4,Matches
Stefan de Vrij,nl NED,DF,31-060,14.9,2,0,0,10,7,0,0,30,12,0,1,0,72,53,22,70.7,Matches
Marcelo Brozović,hr CRO,MF,30-141,12.1,6,0,0,17,6,0,35,16,11,0,0,0,83,4,6,40.0,Matches
Samir Handanović,si SVN,GK,38-266,10.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,Matches
Romelu Lukaku,be BEL,FW,29-328,9.6,1,0,0,8,2,10,17,0,0,0,0,0,12,24,21,53.3,Matches
Robin Gosens,de GER,"DF,FW",28-275,8.1,1,0,0,10,1,1,32,14,15,0,0,0,36,15,8,65.2,Matches
Joaquín Correa,ar ARG,FW,28-236,5.7,1,0,0,6,12,1,1,0,5,0,0,0,21,4,9,30.8,Matches
Roberto Gagliardini,it ITA,MF,28-364,4.6,1,0,0,7,8,0,6,1,5,0,0,0,22,12,6,66.7,Matches
Kristjan Asllani,al ALB,MF,21-028,3.4,2,0,0,5,4,0,9,2,4,0,0,0,26,0,2,0.0,Matches
Danilo D'Ambrosio,it ITA,DF,34-209,3.1,2,1,0,9,4,0,6,6,7,1,0,0,16,4,4,50.0,Matches
Raoul Bellanova,it ITA,"DF,MF",22-324,2.2,0,0,0,0,5,2,20,3,3,0,0,0,9,2,2,50.0,Matches
Valentin Carboni,it ITA,"MF,DF",18-032,0.3,0,0,0,0,3,0,1,0,1,0,0,0,6,0,4,0.0,Matches
Mattia Zanotti,it ITA,DF,20-085,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,29.5,28.0,50,2,1,330,324,55,702,231,242,4,3,2,1476,390,308,55.9,
Opponent Total,,,27.2,28.0,71,1,0,344,303,25,395,249,189,3,5,1,1324,308,390,44.1,
