Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Nicolò Barella,it ITA,MF,26-058,27,25,2100.0,23.3,5.0,6.0,11.0,5.0,0.0,0.0,5.0,0.0,2.7,2.7,4.9,7.6,63.0,161.0,139.0,0.21,0.26,0.47,0.21,0.47,0.11,0.21,0.32,0.11,0.32,Matches
Lautaro Martínez,ar ARG,FW,25-227,28,24,2158.0,24.0,14.0,3.0,17.0,13.0,1.0,2.0,2.0,0.0,12.9,11.4,3.7,15.1,38.0,69.0,143.0,0.58,0.13,0.71,0.54,0.67,0.54,0.16,0.69,0.47,0.63,Matches
Hakan Çalhanoğlu,tr TUR,MF,29-057,26,23,1924.0,21.4,2.0,5.0,7.0,1.0,1.0,1.0,2.0,0.0,2.7,1.9,3.7,5.6,37.0,143.0,53.0,0.09,0.23,0.33,0.05,0.28,0.13,0.17,0.3,0.09,0.26,Matches
Federico Dimarco,it ITA,DF,25-147,25,21,1677.0,18.6,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.4,2.4,5.0,7.4,37.0,72.0,159.0,0.16,0.11,0.27,0.16,0.27,0.13,0.27,0.39,0.13,0.39,Matches
Milan Škriniar,sk SVK,DF,28-054,21,20,1769.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,0.3,1.1,16.0,81.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Alessandro Bastoni,it ITA,DF,23-358,22,20,1689.0,18.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.5,3.6,37.0,121.0,38.0,0.0,0.11,0.11,0.0,0.11,0.06,0.13,0.19,0.06,0.19,Matches
Denzel Dumfries,nl NED,DF,26-353,25,19,1651.0,18.3,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,3.1,3.1,3.8,6.9,47.0,45.0,132.0,0.05,0.16,0.22,0.05,0.22,0.17,0.21,0.37,0.17,0.37,Matches
Henrikh Mkhitaryan,am ARM,MF,34-075,25,19,1622.0,18.0,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.4,2.3,1.9,4.2,39.0,104.0,58.0,0.17,0.06,0.22,0.17,0.22,0.13,0.1,0.24,0.13,0.23,Matches
Matteo Darmian,it ITA,DF,33-125,23,19,1531.0,17.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.7,2.7,14.0,65.0,84.0,0.06,0.12,0.18,0.06,0.18,0.06,0.1,0.16,0.06,0.16,Matches
Francesco Acerbi,it ITA,DF,35-055,21,18,1695.0,18.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.6,1.3,26.0,79.0,19.0,0.0,0.05,0.05,0.0,0.05,0.03,0.03,0.07,0.03,0.07,Matches
André Onana,cm CMR,GK,27-004,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edin Džeko,ba BIH,FW,37-020,28,17,1579.0,17.5,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,8.7,8.7,3.1,11.8,25.0,60.0,127.0,0.4,0.17,0.57,0.4,0.57,0.5,0.18,0.67,0.5,0.67,Matches
Stefan de Vrij,nl NED,DF,31-060,17,15,1338.0,14.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.2,1.0,10.0,42.0,0.0,0.07,0.0,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07,Matches
Marcelo Brozović,hr CRO,MF,30-141,18,12,1090.0,12.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0,0.7,2.7,19.0,68.0,18.0,0.17,0.0,0.17,0.17,0.17,0.16,0.06,0.22,0.16,0.22,Matches
Samir Handanović,si SVN,GK,38-266,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Romelu Lukaku,be BEL,FW,29-328,16,10,867.0,9.6,3.0,1.0,4.0,1.0,2.0,2.0,1.0,0.0,4.9,3.3,1.7,5.0,7.0,22.0,87.0,0.31,0.1,0.42,0.1,0.21,0.51,0.18,0.69,0.35,0.52,Matches
Robin Gosens,de GER,"DF,FW",28-275,24,6,726.0,8.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,1.2,3.0,22.0,28.0,66.0,0.12,0.0,0.12,0.12,0.12,0.23,0.15,0.38,0.23,0.38,Matches
Joaquín Correa,ar ARG,FW,28-236,19,5,510.0,5.7,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,0.9,3.1,6.0,10.0,37.0,0.53,0.18,0.71,0.53,0.71,0.39,0.16,0.54,0.39,0.54,Matches
Roberto Gagliardini,it ITA,MF,28-364,12,3,414.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,12.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.15,0.11,0.15,Matches
Kristjan Asllani,al ALB,MF,21-028,13,2,307.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.6,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.17,0.07,0.17,Matches
Danilo D'Ambrosio,it ITA,DF,34-209,9,2,280.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.6,0.6,4.0,15.0,9.0,0.0,0.32,0.32,0.0,0.32,0.0,0.19,0.19,0.0,0.19,Matches
Raoul Bellanova,it ITA,"DF,MF",22-324,12,0,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,12.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.28,0.06,0.33,0.28,0.33,Matches
Valentin Carboni,it ITA,"MF,DF",18-032,5,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Mattia Zanotti,it ITA,DF,20-085,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,6.12,0.0,6.12,Matches
Lucien Agoume,fr FRA,MF,21-056,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nikolaos Botis,gr GRE,GK,19-006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Brazão,br BRA,GK,22-183,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alex Cordaz,it ITA,GK,40-095,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dennis Curatolo,it ITA,FW,19-003,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Fontanarosa,it ITA,DF,20-058,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Eddie Salcedo,it ITA,FW,21-187,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Aleksandar Stanković,rs SRB,FW,17-246,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
